vendorId,productId,Product Owner,Vendor Title,Warehouse Availability,Product Category,Product Title,Inventory,Re-Order_Point,Quantity to Send (15 working days),State,#Shipment in Progress,Warehouse Name,City
270922f3-a4ac-4faa-ac1d-b5e96b55bb80,3a2560d8-d89d-4296-bbf0-f54e61461055,Retail,اتوسرویس پورحسن (تهران - رباط کریم),0.0,Bestseller,یوروپیوم اسپیدی (SJ 10W40) 3.5 لیتری پلاستیکی,0.0,0.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
51cb8c2a-5d64-4895-ad99-6cdcfb9df59f,3721d8e6-a2f5-4fc6-ace1-601ecbfb2e85,Retail,مرکز روغن موتور پارس گاراژ ( تبریز - دروازه تهران ),0.0,Bestseller,بهران سوپر پیشتاز  (SL 20W50)  4 لیتری پلاستیکی,0.0,2.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تبریز
0,0,Retail,دنیای کف پوش (منطقه 4 -هروی),-,0,کفپوش 5 بعدی پژو 206 و 207 هاچبک AM مشکی,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتو سرویس اطمینان (شهرقدس - عوارضی),-,0,لنت جلو مناسب پراید مدرن تندیس KIA,0.0,0.0,0.0,🟥Supply Needed,-,-,0
96094aa2-78fc-49aa-9b71-79a36bbbfc1e,0ec32f69-3778-4a9c-9752-674637ce9b9b,Retail,اتو سرویس و آپاراتی برادران هوشیاری (شیراز - بلوار زینبیه),12.0,Bestseller,بهران پیشتاز (SJ 10W40) 3.5 لیتری پلاستیکی,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,شیراز
0,0,Retail,اتو سرویس مصطفی (پاکدشت),-,0,لنت کفشکی عقب پراید عظام,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتوسرویس نادری ( مشهد- امامت ),-,0,فیلتر روغن امان پژو 405 کد AFL0104,0.0,0.0,0.0,🟥Supply Needed,-,-,0
dd1b5ef9-71f6-4d30-82e6-ec51ad9b207f,8a62f289-3591-4d4a-857d-614eb9a402c2,Marketplace,تعویض روغنی و مکانیکی فرزاد(منطقه 22-شهرقدس),-,Bestseller,پک ایرانول 12000 (10W40 - Sj 4L) + فیلترروغن و هوا مناسب تیبا کوییک ساینا,0.0,1.0,0.0,🟥Supply Needed,-,-,تهران
16b5016a-d53a-4873-998e-ec05dd830152,4a468e39-164b-4f48-bee5-03db68fd055d,Retail,اتوسرویس قاسمی (اصفهان - بهارستان غربی),0.0,Bestseller,فلومکس مگاتک اکو (SL 10W40) 4 لیتری فلزی,0.0,0.0,0.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,اصفهان
0,0,Retail,اتو سرویس نوین (فردیس - بلوار کلهر),-,0,فیلتر هوا امان پژو 405 کد AFA4005,0.0,0.0,0.0,🟥Supply Needed,-,-,0
6ca10273-86d5-45dc-b7ed-506754165b9d,0ec32f69-3778-4a9c-9752-674637ce9b9b,Retail,اتوسرویس اطمینان (مشهد-معلم),0.0,Bestseller,بهران پیشتاز (SJ 10W40) 3.5 لیتری پلاستیکی,0.0,2.0,0.0,🟥Supply Needed,-,مرکز عملیات-مشهد,مشهد
1afdc735-7390-4e67-85e8-182dc91e585b,07951d53-8e4a-441a-b119-a418f89dee44,Marketplace,اتوسرویس جهان (شیراز - جاده صدرا),-,Bestseller,پک بهران  پیشتاز (10W40 - SJ 3.5 L) + فیلتر روغن و هوا مناسب تیبا، ساینا کوییک,0.0,1.0,0.0,🟥Supply Needed,-,-,شیراز
6fa050ff-49e5-4bb0-a7b1-3ba28e8c2418,0ec32f69-3778-4a9c-9752-674637ce9b9b,Retail,اتو سرویس آریا 2 (منطقه 5_سیمون بولیوار),0.0,Bestseller,بهران پیشتاز (SJ 10W40) 3.5 لیتری پلاستیکی,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
0,0,Retail,فروشگاه ایساکو 4100061 (مشهد - هاشمی رفسنجانی),-,0,تيغه برف پاك كن با آب پاش (پژو 405)ایساکو 470100197,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتوسرویس توپولیها (فردیس - بلوار کلهر),-,0,ست وایر شمع تیبا کوییک ساینا سایپا یدک -102014-p0k -ht leads,0.0,0.0,0.0,🟥Supply Needed,-,-,0
230a66b3-f8e9-42e9-9783-38ce753b4820,a1fc940d-cacc-4b90-bc7d-2a07d1b521fa,Retail,اتوسرویس کاظمی (منطقه 5- اکباتان),0.0,Bestseller,لاستیک کویر 165/65 R13,0.0,2.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
7e5da9a3-a63f-413f-859b-69873c630890,bd568c5a-fce9-4423-b8bc-6299fd8ca10e,Retail,اتو سرویس دکتر لنت ( تبریز - مارالان ),0.0,Regular & Fairly Stable,فلومکس های‌تک (SM 10W40)  4 لیتری فلزی,0.0,0.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تبریز
0,0,Retail,تعویض روغن امینیان (ارومیه - ولیعصر),-,0,تیغه برف پاکن پنگوئن 20-18اینچ  ریو و تیبا,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,تعمیرگاه استاد کاظم (جاده ملارد- خیابان پیک),-,0,فیلتر روغن امان پژو 405 کد AFL0104,0.0,0.0,0.0,🟥Supply Needed,-,-,0
